author,review,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,timestamp_created,timestamp_updated,cleaned_review,sentiment
76561198309524826,"It's more Assassin's Creed, not much to say",True,0,0,0.5,0,1760343266,1760343266,its more assassins creed not much to say,Positive
76561198974469687,"i dont like playing as yaskue but naoe is fun, and the story at least in the opening is super engaging i havent  got too far because im playing on nightmare but ive been loving the challenge and it makes every victory feel pretty canon imo.",True,0,0,0.5,0,1760338358,1760338358,i dont like playing as yaskue but naoe is fun and the story at least in the opening is super engaging i havent got too far because im playing on nightmare but ive been loving the challenge and it makes every victory feel pretty canon imo,Positive
76561198799692495,"People seem to dog on Ubisoft for making their games the way they do. Sure, I can see some of the problems—like in-app purchases in a full-price game—but mostly, the things that are lame are entirely optional and don't get in the way. This game is extremely well-made. I like the systems that all work together to make a product that I would say is no less than the sum of its parts. Everything has its imperfections, but it's pretty close to ideal. Beautiful, beautiful game, infinite choices to make, never gets tOo easy or too hard, and it does feel like there's a sense of progression throughout the game, despite being a little grindy for materials sometimes (but that's what gold is for, and you can come across it occasionally in-game!). I also still wish that there was a jump button. Most of the time, parkour is what I'm going for, but sometimes I just want to have a little more freedom with the movement. This is something that has been the case in every AC game I have played, though, so I have come to expect it. Overall, I would rate this pretty high on the scale. It falls short of some of the legends in my book like the Horizon series, Cyberpunk, and the Spider-Man games, but it's very well done.",True,0,0,0.5,0,1760330889,1760330889,people seem to dog on ubisoft for making their games the way they do sure i can see some of the problemslike inapp purchases in a fullprice gamebut mostly the things that are lame are entirely optional and dont get in the way this game is extremely wellmade i like the systems that all work together to make a product that i would say is no less than the sum of its parts everything has its imperfections but its pretty close to ideal beautiful beautiful game infinite choices to make never gets too easy or too hard and it does feel like theres a sense of progression throughout the game despite being a little grindy for materials sometimes but thats what gold is for and you can come across it occasionally ingame i also still wish that there was a jump button most of the time parkour is what im going for but sometimes i just want to have a little more freedom with the movement this is something that has been the case in every ac game i have played though so i have come to expect it overall i would rate this pretty high on the scale it falls short of some of the legends in my book like the horizon series cyberpunk and the spiderman games but its very well done,Positive
76561199534745876,i enjoyed it,True,0,0,0.4782608747482299,0,1760313562,1760313562,i enjoyed it,Positive
76561199055357979,"good ac game.
still waiting for a more traditional setting and story but this game was fun and pretty.",True,0,0,0.5,0,1760312976,1760312976,good ac game still waiting for a more traditional setting and story but this game was fun and pretty,Positive
76561199384930841,Sensational,True,0,0,0.5,0,1760311033,1760311033,sensational,Positive
76561199629768054,this game has great graphics and i love the story but i do not recomend taking quest that you are not ready for it is very hard to beat a boss that is even 3 levels higher than you.,True,0,0,0.5,0,1760304159,1760304159,this game has great graphics and i love the story but i do not recomend taking quest that you are not ready for it is very hard to beat a boss that is even 3 levels higher than you,Positive
76561198860717199,"They used a lot of great features from other games
",True,0,0,0.5,0,1760287376,1760287376,they used a lot of great features from other games,Positive
76561198075805584,"Honestly, as someone who has played almost all of AC games, this one is very dissapointing.
Start of the game was much stronger, the introductions, the generic plot etc., but once you’re given that freedom it all falls apart…it feels too big, parkour is almost entirely properly limited to castles, other areas it’s mostly running,
Japan is beautiful, but gameplay wise, with combat and atory it all falls short (just play Ghost of Tsushima).

Games is good for few hour play sessions to clear a castle, to get some gear you probably won’t need…

Heard last few hours were good, but I barely even noticed the game ended, I was shocked to trealise I completed the main plot, so boring by the end…

Might continue to kill of some targets, but more glad I got it on huge discount, not worth full price!",False,5,0,0.536849856376648,0,1760285725,1760285725,honestly as someone who has played almost all of ac games this one is very dissapointing start of the game was much stronger the introductions the generic plot etc but once youre given that freedom it all falls apartit feels too big parkour is almost entirely properly limited to castles other areas its mostly running japan is beautiful but gameplay wise with combat and atory it all falls short just play ghost of tsushima games is good for few hour play sessions to clear a castle to get some gear you probably wont need heard last few hours were good but i barely even noticed the game ended i was shocked to trealise i completed the main plot so boring by the end might continue to kill of some targets but more glad i got it on huge discount not worth full price,Positive
76561198450783356,good story line,True,0,0,0.4979252815246582,0,1760283940,1760283940,good story line,Positive
